,vmax_forward_Enz_A,vmax_forward_Enz_B,vmax_forward_Enz_C,vmax_forward_Enz_D,vmax_forward_Enz_E,vmax_forward_Enz_F,vmax_forward_Enz_G,vmax_forward_Enz_H,vmax_forward_Enz_L,vmax_forward_TKT2,vmax_forward_RPI,vmax_forward_PDH,vmax_forward_CS,km_substrate2_TKT2,km_substrate1_PDH,km_substrate1_Enz_A,km_substrate2_Enz_A,vmax_forward_Enz_I,km_substrate1_Enz_I,Product_I
5953,0.9307401123855188,1.2091995383923726,1.0822802940201754,0.8839041737155466,1.986524103024797,1.7004095412796507,1.8388403124395127,1.840100948801716,1.4906958332594606,1.2548724624351402,0.9427584998211554,0.9946766035809116,1.3450240095202812,0.6719790488121893,1.0497535859308342,1.7046092424612562,0.7951261747353953,1.4311023277615966,0.9255003911027292,0.242298320823236
1689,1.552164671801894,1.5552185995851064,1.6066440370556163,1.0530213016945196,0.6971457974264486,1.3248856348811042,1.967076129393932,1.9956152380325791,1.4655611764042016,0.5872129367811088,1.108498241148001,0.9053960356046236,0.877035313479611,0.5834882069698983,1.0347137078828863,2.7552853839404268,0.7213969553964844,0.780226485272767,0.7364967134162863,1.4890062566168698
2666,1.2837927122964126,0.7934185527204258,1.2148054841247915,0.8238218087878163,0.7548995495977979,0.7486985021882936,0.5642255012595971,1.6031265578864575,1.9560560103273643,0.4425905104941449,1.35589440424547,1.061931712337355,1.0884228633018662,1.1418608616940027,1.0178773893311597,2.7057083486902003,1.0796908630389368,0.5766553988284122,1.242825008649324,1.5397092277728244
6288,1.0146192290387588,0.8515349218844175,1.682863318531958,1.8219675900196928,1.6507158527553658,1.9002072468852245,0.8898804692271063,1.1469286367230858,1.393654839906821,0.9488742738540794,1.115500072496563,0.9811727987472236,1.32215839408703,1.284658705060565,1.3216445172300977,2.861907599863848,0.7912892397049642,1.0873811939316995,1.0068651276113494,0.4719066641468146
2628,0.9267492011621924,1.8182111731120767,1.178739688336333,1.8958858209857383,0.586939618214249,0.730592085480188,0.709211676661704,1.9479002575237,0.5673603298179948,1.3750439964032104,1.1462707046112044,1.0810943955179877,1.107189317224555,2.237119315161461,1.1262313194344604,0.6755967844068225,0.815578062333044,0.8213974899226656,0.9248970540835864,1.3894305141437675
1228,0.6980392250239214,1.5417415289464866,1.3212872557439777,0.5964456928409653,1.0745249827823518,0.7616058882248979,1.1938335951326542,1.5147393229741313,1.206539426218156,0.7395577615462212,0.5812575133531394,0.9436883210440586,1.0134260366880092,0.9563393846365744,0.8278587082075606,1.8779562881927057,0.7569882754051926,0.7917703541117592,0.8551491370196256,0.6111496134368513
6518,0.6906374216377169,1.185485330596219,0.9579228151573252,0.9418645598310368,0.7480621340122373,1.841371357038336,1.181860326996492,1.1808220477924491,1.4299582242373232,2.322941501139401,1.1272878669828916,1.066652930789914,0.9804126793445472,2.335180696928474,1.4436711007962044,2.3067105049346206,1.094773162100196,1.070372208407981,0.7431147899098764,0.1754837400211624
6378,0.928668616680152,1.3480367683973276,0.5356264928025858,1.536945559552373,1.6014764432367343,1.0807491014170107,0.5720199729365962,1.341908854727183,1.986495917857665,1.4650111379480473,1.2164508214958167,1.0373152698561523,0.8998112864244585,2.294628649441306,0.8080954295733396,2.720807195872477,0.786846937980137,0.6390104916337646,1.0521483798778393,1.0853531538945285
4687,1.346342777063186,1.5332698927958677,0.7113181967253468,0.7990548369841782,1.3854633024661709,1.3723328564474937,1.719211254534848,0.7194017904031549,1.076186593246897,1.9348218658943488,1.0402760137079723,1.0957493882443594,0.7824648718830358,1.0315559738585254,0.8684108948178367,1.235245115542877,0.8313575896699965,0.6127423018161925,1.2827912626616904,1.4181754680829075
4507,1.1916582042009018,1.892867076073407,0.594298758743844,1.4222893774785637,1.8671929840758967,0.6329134643563423,1.7331359913767002,1.7614720964476973,1.5368741938144,1.3659926877342337,0.970239772222138,0.9037142672176506,1.0421016560071927,2.666512156138695,1.0538635817557986,2.5400652174874563,1.2467377194525875,0.6490698133029525,1.2596802708962769,0.9100361977815936
5402,1.2760394188492448,1.349939752092288,1.0305421866067392,1.8592441081409123,1.567460661097129,1.0467891845049466,1.2731335014294145,0.8050939728643962,0.7103355071346922,2.6165244907149945,1.3083773576253714,0.9358727330055951,1.32741746471777,2.3589977696051325,1.651853331412513,0.9706031963007422,1.1706747269286102,1.1779318511102428,0.9750192177269128,0.6661540952669407
2629,0.7728355104644598,0.9898926617489034,0.7028579690596983,1.903069807656704,1.2521410777185111,0.7452023962959613,1.922684951578385,1.08779579458832,1.6749909347760303,2.8267779827946526,1.4930589405573698,0.9671247919240218,0.8281971862665843,1.5116762786672526,1.2347598921193388,0.9680358874749048,1.017611767684934,0.632779135759147,0.9828361039332084,0.8608886242752061
1497,1.908827316617177,1.675338929345466,0.8484020532758081,1.0853559344571786,1.910758273704879,1.415108224263025,1.3162483945416503,1.0746409768210707,0.5408996548462969,0.7960510101879467,1.2937588408064566,0.9696002683889848,1.1423731966558144,1.037364203256974,1.0458509783647112,0.7348542804801748,0.9081315085104082,0.7101753559946432,1.1665119013504928,1.428666248136668
